name,company,stock_code,product,market_date,month,ceo,homepage,region,company_eng,code,codename
건물건설업,화성산업,2460,아파트건설,1988-09-29,12월,이인중,http://www.hwasung.com,대구광역시,화성산업,F,건설업
건물건설업,서희건설,35890,"토목,건축,부동산임대업",1999-12-24,12월,"곽선기,김팔수",http://www.seohee.co.kr,경기도,서희건설,F,건설업
건물건설업,금호산업,2990,"종합건설/여객운송,관광/부동산임대,분양",1976-06-26,12월,"박삼구,서재환(각자대표이사)",http://www.kumhoenc.com,전라남도,금호산업,F,건설업
건물건설업,신원종합개발,17000,토건,1994-12-07,12월,우진호,http://www.swc.co.kr,경기도,신원종합개발,F,건설업
건물건설업,삼호,1880,"도로건설공사,토목공사,건축공사,조경공사/부동산임대,매매",1977-12-22,12월,조남창,http://www.samho.co.kr,인천광역시,삼호,F,건설업
건물건설업,HDC현대산업개발,294870,"외주주택,자체공사,일반건축,토목등",2018-06-12,12월,"김대철,권순호",http://www.hdc-dvp.com,서울특별시,HDC현대산업개발,F,건설업
건물건설업,케이씨씨건설,21320,"토목건축공사,분양공사",2001-08-21,12월,"정몽열,윤희영",http://www.kccworld.net,서울특별시,KCC건설,F,건설업
건물건설업,삼일기업공사,2290,도급공사,1992-11-30,12월,박종웅,http://www.samilenter.com,서울특별시,삼일기업공사,F,건설업
건물건설업,이테크건설,16250,"건축공사,플랜트설비,토목공사",1999-12-28,12월,"이복영,안찬규",http://www.etecenc.com,서울특별시,이테크건설,F,건설업
건물건설업,KD건설,44180,몰드베이스(MoldBase),2000-11-16,12월,안태일,http://dymoldtech.co.kr,경기도,KD건설,F,건설업
건물건설업,까뮤이앤씨,13700,"토목공사,건축공사/부동산임대",1989-11-30,12월,손병재,http://www.camusenc.com,경기도,까뮤이앤씨,F,건설업
건물건설업,이화공영,1840,도급공사,1994-11-23,12월,"최삼규,최종찬",http://www.ee-hwa.co.kr,서울특별시,이화공영,F,건설업
건물설비설치공사업,세보엠이씨,11560,"건설관련설비,ACESSFLOOR,소음기,CHAMMBER,PFPUNIT,BY-PASSUNIT,DUCT,철구조물.",1996-12-23,12월,"김우영,김진호(각자대표이사)",http://www.sebo21.co.kr,서울특별시,세보엠이씨,F,건설업
"건축기술,엔지니어링및관련기술서비스업",한전산업개발,130660,"발전설비운전·정비,전기검침",2010-12-16,12월,-,http://www.kepid.co.kr,서울특별시,한전산업,M,"전문, 과학 및 기술 서비스업"
"건축기술,엔지니어링및관련기술서비스업",삼성엔지니어링,28050,"산업설비,건물,구축물,토목시설의설계,시공,공사감리",1996-12-24,12월,최성안,http://www.samsungengineering.co.kr,서울특별시,삼성엔지니어링,M,"전문, 과학 및 기술 서비스업"
"건축기술,엔지니어링및관련기술서비스업",한양이엔지,45100,반도체배관설비,2000-08-31,12월,"김형육,김범상",http://www.hanyangkorea.com,경기도,한양이엔지,M,"전문, 과학 및 기술 서비스업"
"건축기술,엔지니어링및관련기술서비스업",에이치엘비생명과학,67630,"ESCO사업,신재생에너지사업",2008-11-25,12월,김하용,http://www.hlb-ls.com,경기도,에이치엘비생명과학,M,"전문, 과학 및 기술 서비스업"
"건축기술,엔지니어링및관련기술서비스업",디피코,163430,"자동차엔지니어링서비스,의료용전동스쿠터등",2018-05-16,12월,송신근,http://www.dpeco.com,경기도,디피코,M,"전문, 과학 및 기술 서비스업"
"건축기술,엔지니어링및관련기술서비스업",한미글로벌건축사사무소,53690,"건축설계,감리/건축공사,토목공사,설비공사,전기공사,안전공사",2009-06-23,12월,"윤요현,박서영",http://www.hanmiparsons.com,서울특별시,한미글로벌,M,"전문, 과학 및 기술 서비스업"
"건축기술,엔지니어링및관련기술서비스업",포스코아이씨티,22100,"SI(SystemIntegration),DVR(DigitalVideoRecorder)",2000-11-28,12월,최두환,http://www.poscoict.co.kr,경상북도,포스코ICT,M,"전문, 과학 및 기술 서비스업"
"건축기술,엔지니어링및관련기술서비스업",성도이엔지,37350,"반도체크린룸시공,반도체장비제조",2000-01-11,12월,"서인수,강창열(각자대표이사)",http://www.sungdokorea.com,서울특별시,성도이엔지,M,"전문, 과학 및 기술 서비스업"
"건축기술,엔지니어링및관련기술서비스업",도화엔지니어링,2150,"토목설계,건축설계,종합감리전문업,종합기술용역,엔지니어링",2010-08-12,12월,"오세항,박승우,노진명,곽준상",http://www.dohwa.co.kr,서울특별시,도화엔지니어링,M,"전문, 과학 및 기술 서비스업"
"건축기술,엔지니어링및관련기술서비스업",한국종합기술,23350,"토목설계,건축설계,감리,측량/토목건축공사",2011-04-28,12월,김춘선,http://www.kecc.co.kr,경기도,한국종합기술,M,"전문, 과학 및 기술 서비스업"
"건축기술,엔지니어링및관련기술서비스업",희림종합건축사사무소,37440,설계및감리용역,2000-02-03,12월,"정영균,이목운(각자대표)",http://www.heerim.com,서울특별시,희림,M,"전문, 과학 및 기술 서비스업"
"건축기술,엔지니어링및관련기술서비스업",한국전력기술,52690,원자력발전소설계등,2009-12-14,12월,이배수,http://www.kepco-enc.com,경상북도,한전기술,M,"전문, 과학 및 기술 서비스업"
"건축기술,엔지니어링및관련기술서비스업",유신,54930,토목설계및감리,2002-01-15,12월,"전경수,성낙일(각자대표)",http://www.yooshin.co.kr,서울특별시,유신,M,"전문, 과학 및 기술 서비스업"
"건축자재,철물및난방장치도매업",일신석재,7110,"건축석제조,도소매/석공예,석공사",1986-03-04,12월,김학선,http://www.ilshinstone.co.kr,서울특별시,일신석재,G,도매 및 소매업
"경비,경호및탐정업",에스원,12750,"부가통신서비스(경비),안전관리용역,CCTV카메라",1996-01-30,12월,"육현표,키다코이치",http://www.s1.co.kr,서울특별시,에스원,N,"사업시설 관리, 사업 지원 및 임대 서비스업"
고무제품제조업,동일고무벨트,163560,"산업용고무제품,종합고무부품",2012-10-19,12월,문승필,http://www.drbworld.com,부산광역시,동일고무벨트,C,제조업
고무제품제조업,동아화성,41930,자동차용고무부품,2001-12-26,12월,"임경식,성락제",http://www.dahs.co.kr,경상남도,동아화성,C,제조업
고무제품제조업,넥센타이어,2350,"타이어,후랩,고무제타이어(승용자동차용,래디알구조)제조",1976-05-19,12월,대표이사회장강병중대표이사사장강호찬,http://www.nexentire.com,경상남도,넥센타이어,C,제조업
고무제품제조업,동아타이어공업,282690,타이어및튜브,2017-11-29,12월,"김만수,김상헌",http://www.dongahtire.co.kr,경상남도,동아타이어,C,제조업
고무제품제조업,금호타이어,73240,"타이어,튜브제조,도매,무역",2005-02-17,12월,김종호,http://www.kumhotire.co.kr,광주광역시,금호타이어,C,제조업
고무제품제조업,바이오제네틱스,44480,"콘돔,고무골무,의료용장갑",2001-01-11,12월,"하관호,안주훈(각자대표)",http://www.unidusok.com,충청북도,바이오제네틱스,C,제조업
고무제품제조업,한국타이어,161390,타이어제조,2012-10-04,12월,"조현범,이수일",http://kr.hankooktire.com,서울특별시,한국타이어,C,제조업
